OTU,p,c,o,f,g,summay
Zotu2995,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu2996,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu2997,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,,p:Firmicutes c:Clostridia o:Clostridiales f:Lachnospiraceae 
Zotu2998,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu2999,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Moraxellaceae g:Acinetobacter
Zotu3,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiales_incertae_sedis,g:Aquabacterium,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Burkholderiales_incertae_sedis g:Aquabacterium
Zotu30,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu300,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Zoogloea,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae g:Zoogloea
Zotu3000,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bacteriovoracaceae,g:Bacteriovorax,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bacteriovoracaceae g:Bacteriovorax
Zotu3001,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,,,p:Actinobacteria c:Actinobacteria o:Actinomycetales  
Zotu3002,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu3003,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""",,,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales""  "
Zotu3004,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Cystobacteraceae,,p:Proteobacteria c:Deltaproteobacteria o:Myxococcales f:Cystobacteraceae 
Zotu3005,,,,,,    
Zotu3006,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Roseomonas,p:Proteobacteria c:Alphaproteobacteria o:Rhodospirillales f:Acetobacteraceae g:Roseomonas
Zotu3007,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu3008,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu3009,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu301,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Alcaligenaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Alcaligenaceae 
Zotu3010,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,,,p:Bacteroidetes c:Cytophagia o:Cytophagales  
Zotu3011,p:Proteobacteria,c:Betaproteobacteria,o:Neisseriales,f:Neisseriaceae,g:Vogesella,p:Proteobacteria c:Betaproteobacteria o:Neisseriales f:Neisseriaceae g:Vogesella
Zotu3012,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Emticicia,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Emticicia
Zotu3013,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu3014,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu3015,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Mycobacteriaceae,g:Mycobacterium,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Mycobacteriaceae g:Mycobacterium
Zotu3016,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""",f:Bacteroidaceae,g:Bacteroides,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales"" f:Bacteroidaceae g:Bacteroides"
Zotu3017,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae 
Zotu3018,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu3019,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Cryomorphaceae,,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Cryomorphaceae "
Zotu302,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu3020,p:Proteobacteria,c:Betaproteobacteria,o:Neisseriales,f:Neisseriaceae,g:Aquaspirillum,p:Proteobacteria c:Betaproteobacteria o:Neisseriales f:Neisseriaceae g:Aquaspirillum
Zotu3021,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Hyphomicrobiaceae 
Zotu3022,p:Actinobacteria,c:Actinobacteria,o:Acidimicrobiales,,,p:Actinobacteria c:Actinobacteria o:Acidimicrobiales  
Zotu3023,p:Chloroflexi,c:Caldilineae,o:Caldilineales,f:Caldilineaceae,,p:Chloroflexi c:Caldilineae o:Caldilineales f:Caldilineaceae 
Zotu3024,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu3025,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu3026,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Rickettsiaceae,g:Rickettsia,p:Proteobacteria c:Alphaproteobacteria o:Rickettsiales f:Rickettsiaceae g:Rickettsia
Zotu3027,p:Proteobacteria,c:Gammaproteobacteria,"o:""Enterobacteriales""",f:Enterobacteriaceae,,"p:Proteobacteria c:Gammaproteobacteria o:""Enterobacteriales"" f:Enterobacteriaceae "
Zotu3028,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu3029,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu303,p:Proteobacteria,c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,g:Arcobacter,p:Proteobacteria c:Epsilonproteobacteria o:Campylobacterales f:Campylobacteraceae g:Arcobacter
Zotu3030,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Phyllobacteriaceae,g:Mesorhizobium,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Phyllobacteriaceae g:Mesorhizobium
Zotu3031,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu3032,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,g:Gemmata,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae g:Gemmata
Zotu3033,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Spirosoma,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Spirosoma
Zotu3034,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu3035,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfovibrionales,f:Desulfovibrionaceae,g:Desulfovibrio,p:Proteobacteria c:Deltaproteobacteria o:Desulfovibrionales f:Desulfovibrionaceae g:Desulfovibrio
Zotu3036,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu3037,p:Chlamydiae,,,,,p:Chlamydiae    
Zotu3038,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Herbaspirillum,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Herbaspirillum
Zotu3039,p:Proteobacteria,c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,g:Arcobacter,p:Proteobacteria c:Epsilonproteobacteria o:Campylobacterales f:Campylobacteraceae g:Arcobacter
Zotu304,p:Proteobacteria,c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,g:Arcobacter,p:Proteobacteria c:Epsilonproteobacteria o:Campylobacterales f:Campylobacteraceae g:Arcobacter
Zotu3040,,,,,,    
Zotu3041,,,,,,    
Zotu3042,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Cryomorphaceae,g:Fluviicola,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Cryomorphaceae g:Fluviicola"
Zotu3043,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu3044,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu3045,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Rickettsiaceae,,p:Proteobacteria c:Alphaproteobacteria o:Rickettsiales f:Rickettsiaceae 
Zotu3046,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae 
Zotu3047,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Rickettsiaceae,g:Rickettsia,p:Proteobacteria c:Alphaproteobacteria o:Rickettsiales f:Rickettsiaceae g:Rickettsia
Zotu3048,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Zoogloea,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae g:Zoogloea
Zotu3049,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Nocardioidaceae,g:Nocardioides,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Nocardioidaceae g:Nocardioides
Zotu305,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu3050,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae 
Zotu3051,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae 
Zotu3052,,,,,,    
Zotu3053,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Cryomorphaceae,g:Fluviicola,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Cryomorphaceae g:Fluviicola"
Zotu3054,,,,,,    
Zotu3055,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu3056,p:Proteobacteria,c:Gammaproteobacteria,o:Aeromonadales,f:Aeromonadaceae,g:Aeromonas,p:Proteobacteria c:Gammaproteobacteria o:Aeromonadales f:Aeromonadaceae g:Aeromonas
Zotu3057,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu3058,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu3059,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu306,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu3060,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Kaistia,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Rhizobiaceae g:Kaistia
Zotu3061,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu3062,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Massilia,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Massilia
Zotu3063,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu3064,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu3065,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingopyxis,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae g:Sphingopyxis
Zotu3066,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu3067,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu3068,,,,,,    
Zotu3069,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhodospirillales f:Acetobacteraceae 
Zotu307,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Elstera,p:Proteobacteria c:Alphaproteobacteria o:Rhodospirillales f:Rhodospirillaceae g:Elstera
Zotu3070,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu3071,,,,,,    
Zotu3072,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu3073,p:Proteobacteria,c:Betaproteobacteria,o:Methylophilales,f:Methylophilaceae,,p:Proteobacteria c:Betaproteobacteria o:Methylophilales f:Methylophilaceae 
Zotu3074,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae 
Zotu3075,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,,p:Firmicutes c:Clostridia o:Clostridiales f:Ruminococcaceae 
Zotu3076,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu3077,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",,,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales""  "
Zotu3078,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu3079,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu308,p:Verrucomicrobia,c:Subdivision3,,,,p:Verrucomicrobia c:Subdivision3   
Zotu3080,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Streptococcus,p:Firmicutes c:Bacilli o:Lactobacillales f:Streptococcaceae g:Streptococcus
Zotu3081,,,,,,    
Zotu3082,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Runella,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Runella
Zotu3083,,,,,,    
Zotu3084,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu3085,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiales_incertae_sedis,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Burkholderiales_incertae_sedis 
Zotu3086,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu3087,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu3088,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,,,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales  
Zotu3089,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Blautia,p:Firmicutes c:Clostridia o:Clostridiales f:Lachnospiraceae g:Blautia
Zotu309,p:Planctomycetes,,,,,p:Planctomycetes    
Zotu3090,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu3091,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu3092,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Comamonas,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Comamonas
Zotu3093,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu3094,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Terrimonas,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Terrimonas"
Zotu3095,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu3096,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu3097,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu3098,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu3099,p:Chlamydiae,c:Chlamydiia,o:Chlamydiales,,,p:Chlamydiae c:Chlamydiia o:Chlamydiales  
Zotu31,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu310,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu3100,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae 
Zotu3101,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu3102,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu3103,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu3104,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu3105,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Duganella,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Duganella
Zotu3106,p:Chloroflexi,c:Caldilineae,o:Caldilineales,f:Caldilineaceae,,p:Chloroflexi c:Caldilineae o:Caldilineales f:Caldilineaceae 
Zotu3107,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,,p:Proteobacteria c:Gammaproteobacteria o:Xanthomonadales f:Xanthomonadaceae 
Zotu3108,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bdellovibrionaceae g:Bdellovibrio
Zotu3109,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Fluviimonas,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Fluviimonas
Zotu311,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu3110,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu3111,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu3112,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""",f:Bacteroidaceae,g:Bacteroides,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales"" f:Bacteroidaceae g:Bacteroides"
Zotu3113,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu3114,,,,,,    
Zotu3115,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu3116,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu3117,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Polaromonas,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Polaromonas
Zotu3118,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu312,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu313,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Beijerinckiaceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Beijerinckiaceae 
Zotu314,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae g:Sphingobium
Zotu315,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Elstera,p:Proteobacteria c:Alphaproteobacteria o:Rhodospirillales f:Rhodospirillaceae g:Elstera
Zotu316,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu317,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Carnobacteriaceae,g:Trichococcus,p:Firmicutes c:Bacilli o:Lactobacillales f:Carnobacteriaceae g:Trichococcus
Zotu318,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Cryomorphaceae,,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Cryomorphaceae "
Zotu319,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Undibacterium,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Undibacterium
Zotu32,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Emticicia,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Emticicia
Zotu320,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Flectobacillus,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Flectobacillus
Zotu321,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Microbacteriaceae,,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Microbacteriaceae 
Zotu322,p:Proteobacteria,c:Gammaproteobacteria,o:Chromatiales,f:Chromatiaceae,g:Rheinheimera,p:Proteobacteria c:Gammaproteobacteria o:Chromatiales f:Chromatiaceae g:Rheinheimera
Zotu323,,,,,,    
Zotu324,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Polymorphobacter,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae g:Polymorphobacter
Zotu325,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Zoogloea,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae g:Zoogloea
Zotu326,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu327,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Runella,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Runella
Zotu328,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhodobacterales f:Rhodobacteraceae 
Zotu329,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu33,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Limnohabitans,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Limnohabitans
Zotu330,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bdellovibrionaceae g:Bdellovibrio
Zotu331,,,,,,    
Zotu332,p:Cyanobacteria/Chloroplast,c:Chloroplast,f:Chloroplast,g:Chlorophyta,,p:Cyanobacteria/Chloroplast c:Chloroplast f:Chloroplast g:Chlorophyta 
Zotu333,,,,,,    
Zotu334,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Hydrogenophaga,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Hydrogenophaga
Zotu335,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
