OTU,p,c,o,f,g,summay
Zotu1121,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Sediminibacterium,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Sediminibacterium"
Zotu1122,,,,,,    
Zotu1123,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae 
Zotu1124,p:Bacteroidetes,c:Flavobacteriia,,,,p:Bacteroidetes c:Flavobacteriia   
Zotu1125,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Sphingobacteriaceae,g:Pedobacter,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Sphingobacteriaceae g:Pedobacter"
Zotu1126,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Delftia,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Delftia
Zotu1127,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,g:Schlesneria,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae g:Schlesneria
Zotu1128,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Ferruginibacter,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Ferruginibacter"
Zotu1129,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu113,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1130,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1131,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1132,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales""  "
Zotu1133,p:Proteobacteria,c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,g:Arcobacter,p:Proteobacteria c:Epsilonproteobacteria o:Campylobacterales f:Campylobacteraceae g:Arcobacter
Zotu1134,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,,p:Proteobacteria c:Gammaproteobacteria o:Xanthomonadales f:Xanthomonadaceae 
Zotu1135,p:Verrucomicrobia,c:Spartobacteria,g:Spartobacteria_genera_incertae_sedis,,,p:Verrucomicrobia c:Spartobacteria g:Spartobacteria_genera_incertae_sedis  
Zotu1136,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfovibrionales,f:Desulfovibrionaceae,g:Desulfovibrio,p:Proteobacteria c:Deltaproteobacteria o:Desulfovibrionales f:Desulfovibrionaceae g:Desulfovibrio
Zotu1137,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae g:Pseudomonas
Zotu1138,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu1139,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae g:Pseudomonas
